Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,130.965,-79.265,-90.0,top
C2,10uF,C_0402_1005Metric,129.965,-79.265,-90.0,top
C3,100nF,C_0402_1005Metric,132.565,-81.765,90.0,top
C4,100nF,C_0402_1005Metric,132.565,-79.765,90.0,top
C5,100nF,C_0402_1005Metric,130.965,-91.265,-90.0,top
C6,10uF,C_0402_1005Metric,129.965,-91.265,-90.0,top
C7,100nF,C_0402_1005Metric,132.565,-93.765,90.0,top
C8,100nF,C_0402_1005Metric,132.565,-91.765,90.0,top
C9,100nF,C_0402_1005Metric,130.965,-103.265,-90.0,top
C10,10uF,C_0402_1005Metric,129.965,-103.265,-90.0,top
C11,100nF,C_0402_1005Metric,132.565,-105.765,90.0,top
C12,100nF,C_0402_1005Metric,132.565,-103.765,90.0,top
C13,100nF,C_0402_1005Metric,130.965,-115.265,-90.0,top
C14,10uF,C_0402_1005Metric,129.965,-115.265,-90.0,top
C15,100nF,C_0402_1005Metric,132.565,-117.765,90.0,top
C16,100nF,C_0402_1005Metric,132.565,-115.765,90.0,top
C17,100nF,C_0402_1005Metric,150.865,-112.740001,90.0,top
C18,10uF,C_0402_1005Metric,151.865,-112.740001,90.0,top
C19,100nF,C_0402_1005Metric,149.265,-110.240001,-90.0,top
C20,100nF,C_0402_1005Metric,149.265,-112.240001,-90.0,top
C21,100nF,C_0402_1005Metric,150.865,-100.740001,90.0,top
C22,10uF,C_0402_1005Metric,151.865,-100.740001,90.0,top
C23,100nF,C_0402_1005Metric,149.265,-98.240001,-90.0,top
C24,100nF,C_0402_1005Metric,149.265,-100.240001,-90.0,top
C25,100nF,C_0402_1005Metric,150.865,-88.740001,90.0,top
C26,10uF,C_0402_1005Metric,151.865,-88.740001,90.0,top
C27,100nF,C_0402_1005Metric,149.265,-86.240001,-90.0,top
C28,100nF,C_0402_1005Metric,149.265,-88.240001,-90.0,top
C29,100nF,C_0402_1005Metric,150.865,-76.740001,90.0,top
C30,10uF,C_0402_1005Metric,151.865,-76.740001,90.0,top
C31,100nF,C_0402_1005Metric,149.265,-74.240001,-90.0,top
C32,100nF,C_0402_1005Metric,149.265,-76.240001,-90.0,top
C33,100nF,C_0402_1005Metric,126.7,-71.4,0.0,top
C34,100nF,C_0402_1005Metric,148.875,-66.455,0.0,top
C35,10uF,C_0402_1005Metric,148.915,-67.455,0.0,top
L1,3.3uH,L_0603_1608Metric,130.765,-77.065,0.0,top
L2,3.3uH,L_0603_1608Metric,130.765,-89.065,0.0,top
L3,3.3uH,L_0603_1608Metric,130.765,-101.065,0.0,top
L4,3.3uH,L_0603_1608Metric,130.765,-113.065,0.0,top
L5,3.3uH,L_0603_1608Metric,151.065,-114.94,180.0,top
L6,3.3uH,L_0603_1608Metric,151.065,-102.94,180.0,top
L7,3.3uH,L_0603_1608Metric,151.065,-90.94,180.0,top
L8,3.3uH,L_0603_1608Metric,151.065,-78.94,180.0,top
Q1,MMBT4403LT1G,SOT-23-3,131.165,-73.865,0.0,top
Q2,MMBT4403LT1G,SOT-23-3,131.165,-85.865,0.0,top
Q3,MMBT4403LT1G,SOT-23-3,131.165,-97.865,0.0,top
Q4,MMBT4403LT1G,SOT-23-3,131.165,-109.865,0.0,top
Q5,MMBT4403LT1G,SOT-23-3,150.664999,-118.14,180.0,top
Q6,MMBT4403LT1G,SOT-23-3,150.664999,-106.14,180.0,top
Q7,MMBT4403LT1G,SOT-23-3,150.664999,-94.14,180.0,top
Q8,MMBT4403LT1G,SOT-23-3,150.664999,-82.14,180.0,top
R1,20k,R_01005_0402Metric,132.665,-76.515,-90.0,top
R2,8.2k,R_01005_0402Metric,132.665,-78.015,-90.0,top
R3,100,R_01005_0402Metric,131.365,-82.165,0.0,top
R4,100,R_01005_0402Metric,131.365,-81.365,0.0,top
R5,20k,R_01005_0402Metric,132.665,-88.515,-90.0,top
R6,8.2k,R_01005_0402Metric,132.665,-90.015,-90.0,top
R7,100,R_01005_0402Metric,131.365,-94.165,0.0,top
R8,100,R_01005_0402Metric,131.365,-93.365,0.0,top
R9,20k,R_01005_0402Metric,132.665,-100.515,-90.0,top
R10,8.2k,R_01005_0402Metric,132.665,-102.015,-90.0,top
R11,100,R_01005_0402Metric,131.365,-106.165,0.0,top
R12,100,R_01005_0402Metric,131.365,-105.365,0.0,top
R13,20k,R_01005_0402Metric,132.665,-112.515,-90.0,top
R14,8.2k,R_01005_0402Metric,132.665,-114.015,-90.0,top
R15,100,R_01005_0402Metric,131.365,-118.165,0.0,top
R16,100,R_01005_0402Metric,131.365,-117.365,0.0,top
R17,20k,R_01005_0402Metric,149.165,-115.49,90.0,top
R18,8.2k,R_01005_0402Metric,149.165,-113.990001,90.0,top
R19,100,R_01005_0402Metric,150.465,-109.840001,180.0,top
R20,100,R_01005_0402Metric,150.465,-110.640001,180.0,top
R21,20k,R_01005_0402Metric,149.165,-103.49,90.0,top
R22,8.2k,R_01005_0402Metric,149.165,-101.990001,90.0,top
R23,100,R_01005_0402Metric,150.465,-97.840001,180.0,top
R24,100,R_01005_0402Metric,150.465,-98.640001,180.0,top
