"Footprint","Part Value","LCSC Part"
"ADS1293CISQE","ADS1293CISQE-NOPB","C181260"
"C_0201_0603Metric","1nF","C526941"
"C_0201_0603Metric","1uF","C53067"
"C_0201_0603Metric","4.7uF","C335103"
"C_0201_0603Metric","10K","C106225"
"C_0201_0603Metric","10M","C320452"
"C_0201_0603Metric","22pF","C272881"
"C_0201_0603Metric","51","C320945"
"C_0201_0603Metric","100nF","C66938"
"C_0402_1005Metric","10uF","C15525"
"C_0402_1005Metric","100nF","C1525"
"C_0402_1005Metric","1nF","C1523"
"C_0402_1005Metric","1uF","C52923"
"C_0402_1005Metric","4.7uF","C23733"
"C_0402_1005Metric","10K","C25744"
"C_0402_1005Metric","10M","C26082"
"C_0402_1005Metric","22pF","C1555"
"C_0402_1005Metric","51","C25125"
"L_0603_1608Metric","3.3uH","C139209"
"QFN-20-1EP_3x3mm_P0.4mm_EP1.4x1.4mm","HC32L110C6UA","C493490"
"R_0402_1005Metric","8.2k","C25924"
"R_0402_1005Metric","20k","C25765"
"R_0402_1005Metric","100","C25076"
"SMD3225-4P","4.096MHz","C255991"
"SOP-16_3.9x9.9mm_P1.27mm","HX711","C43656"
"SOT-23-3","MMBT4403LT1G","C78864"
"WS2812-2020","WS2812-2020","C965555"
"XF2J-1824-12A","XF2J-1824-12A","C397324"
